Faz sentido Pedro,Faz sentido Ethiene,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Qual a probabilidade de um homicidio acontecer por genero-raça-idade?,Como temos uma série histórica só acho importante definirmos se o cálculo será para a o ano mais atual ou para a série toda.,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Como tem variado o número total de homicídios no Brasil ao longo dos anos desde 1989?,(Anos 2000 -2021). E só vejo sentido se for por taxa de homicídio (idem pergunta 9),,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Qual é a tendência dos homicídios de jovens no país ao longo do tempo?,"Neste caso, olharia para taxas de jovens, homens, mulheres e total.",,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Existe uma diferença significativa entre os homicídios de jovens do sexo masculino e do sexo feminino?,Só vejo sentido para taxa de homicídios,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Qual é a proporção de homicídios de jovens que envolvem armas de fogo em comparação com outros meios?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Há uma diferença marcante entre homicídios de homens e mulheres no Brasil?,Idem pergunta 11,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Como se comparam os homicídios de homens negros e não negros?,Taxa. Idem pergunta 12,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Existe uma tendência notável nos homicídios de mulheres negras e não negras ao longo dos anos?,Taxas de homicídios,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Como a taxa de homicídios no Brasil tem variado ao longo do tempo?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Qual é a taxa de homicídios de jovens em comparação com outras faixas etárias?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Existe uma disparidade na taxa de homicídios entre homens e mulheres?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Como se comparam as taxas de homicídios de homens negros e não negros?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Qual é a relação entre a taxa de homicídios e o uso de armas de fogo?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Há uma variação significativa nas taxas de homicídios entre diferentes regiões do Brasil?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Como os gastos com segurança pública podem influenciar as taxas de homicídios no país?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,"Quais foram os estados com as maiores taxas de homicídios em 2022, de acordo com os indicadores disponíveis?",,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Qual é a tendência histórica de homicídios em cada um dos 10 estados mais violentos?,Mais violentos baseados no último ano ou na soma total?,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Existe uma correlação entre a taxa de homicídios e outros indicadores socioeconômicos?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Como as taxas de homicídios nos estados mais violentos se comparam com a média nacional?,Mais violentos baseados no último ano ou na soma total? Idem para a média.,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Quais foram as características demográficas das vítimas de homicídios nos estados mencionados?,Não entendi.,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Existe uma diferença significativa nas taxas de homicídios entre áreas urbanas e rurais dentro desses estados?,"Acho que não temos esta informação, pois não temos CEP.",,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Qual é a proporção de homicídios de jovens em relação ao total de homicídios em cada estado?,Seria a probabilidade? (Idem 1)?,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Há diferenças significativas nas taxas de homicídios entre diferentes grupos étnicos?,Seria igual a pergunta 12?,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Como o perfil das vítimas de homicídios varia entre homens e mulheres ao longo do tempo?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Como o perfil das vítimas de homicídios varia ao longo do tempo em diferentes estados?,Precisaremos olhar isso para chegar nos mais violentos...,,,,,,,,,,,,,,,,,,Como o perfil das vítimas de homicídios varia entre homens e mulheres ao longo do tempo e em diferentes estados?,Como o perfil das vítimas de homicídios varia entre homens e mulheres ao longo do tempo e em diferentes estados?,Como o perfil das vítimas de homicídios varia entre homens e mulheres ao longo do tempo e em diferentes estados?,Como o perfil das vítimas de homicídios varia entre homens e mulheres ao longo do tempo e em diferentes estados?,Como o perfil das vítimas de homicídios varia entre homens e mulheres ao longo do tempo e em diferentes estados?,Como o perfil das vítimas de homicídios varia entre homens e mulheres ao longo do tempo e em diferentes estados?,Como o perfil das vítimas de homicídios varia entre homens e mulheres ao longo do tempo e em diferentes estados?
FALSE,TRUE,Há uma tendência na variação do perfil das vítimas de homicídios em diferentes regiões do Brasil?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Como as taxas de homicídios de negros e não negros se comparam em diferentes estados do Brasil?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Como as taxas de feminicídios se comparam em diferentes estados do Brasil?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Existe uma tendência na variação do perfil étnico-racial das vítimas de homicídios ao longo do tempo?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Quais são os fatores socioeconômicos que contribuem para a disparidade nas taxas de homicídios entre negros e não negros?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,"Existe uma correlação entre as taxas de homicídios de negros e indicadores de desigualdade social, como acesso à educação e oportunidades de emprego?",A correlação será por estado? Brasil todo?Acho que com esta respondemos a anterior,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Como as taxas de homicídios por arma de fogo se comparam com as taxas de homicídios por outros meios?,Idem pergunta 14?,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Qual é o impacto das políticas de controle e rastreamento de armas de fogo na redução das taxas de homicídios?,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,Quais são os fatores socioeconômicos que contribuem para o uso predominante de armas de fogo em homicídios no Brasil?,Acho difícil concluir algo :/,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,TRUE,Qual é a relevância das políticas de desarmamento na redução das taxas de homicídios por armas de fogo?,"Acho difícil dados em relação a isso, porém a pergunta é válida.",,,,,,,,,,,,,,,,,,,,,,,,